,City,Date,Officer-defined ethnicity,Type,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
0,London,2020-01,White,Person search,Other ethnic group - Any other ethnic group,Male,18-24,False,A no further action disposal
1,London,2020-01,Black,Person search,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
2,London,2020-01,Black,Person search,Black/African/Caribbean/Black British - African,Male,10-17,False,A no further action disposal
3,London,2020-01,Black,Person search,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
4,London,2020-01,Asian,Person search,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
5,London,2020-01,Black,Person and Vehicle search,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
6,London,2020-01,Black,Person search,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,10-17,False,A no further action disposal
7,London,2020-01,Asian,Person search,Asian/Asian British - Bangladeshi,Female,18-24,False,A no further action disposal
8,London,2020-01,Other,Person search,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9,London,2020-01,Other,Person search,Asian/Asian British - Indian,Female,18-24,False,A no further action disposal
10,London,2020-01,Asian,Person search,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
11,London,2020-01,Asian,Person and Vehicle search,Asian/Asian British - Bangladeshi,Male,25-34,False,A no further action disposal
12,London,2020-01,Asian,Person search,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
13,London,2020-01,Asian,Person and Vehicle search,Asian/Asian British - Indian,Male,18-24,False,A no further action disposal
14,London,2020-01,White,Person search,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
15,London,2020-01,White,Person search,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
16,London,2020-01,White,Person search,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
17,London,2020-01,Black,Person search,Black/African/Caribbean/Black British - African,Female,over 34,False,A no further action disposal
18,London,2020-01,White,Person search,White - Any other White background,Male,18-24,False,Khat or Cannabis warning
19,London,2020-01,Black,Person and Vehicle search,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
20,London,2020-01,White,Person search,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
